item_name,event_count
Android Large Removable Sticker Sheet,51320
Android SM S/F18 Sticker Sheet,51138
Keyboard DOT Sticker,18440
YouTube Small Sticker Sheet,16753
Google Laptop and Cell Phone Stickers,11628
Google Cambridge Campus Sticker,11009
Google NYC Campus Sticker,10877
Google Emoji Sticker Pack,8451
Google Mural Sticker Sheet,5714
Android Iconic Sticker Sheet,4928
Google Pride Sticker,4602
Google LA Campus Sticker,4375
Google Sunnyvale Campus Sticker,4372
Google Mountain View Campus Sticker,4331
Google PNW Campus Sticker,4253
Google Seattle Campus Sticker,4238
Google Boulder Campus Sticker,4154
Google Kirkland Campus Sticker,3924
Google Bellevue Campus Sticker,3913
